latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
1.2374,38.9375,336.6,1,1,2017-01-02,0759,Terra,MODIS,81,6.2,308.6,19.5,D,0
0.3705,34.5435,327.9,1.3,1.1,2017-01-02,0800,Terra,MODIS,68,6.2,302.3,22.3,D,0
0.8098,35.3929,322.3,1.1,1.1,2017-01-02,0800,Terra,MODIS,68,6.2,299.2,11.3,D,0
0.9501,34.9082,327.5,1.2,1.1,2017-01-02,0800,Terra,MODIS,76,6.2,305.3,16.1,D,0
0.3715,34.5388,323.7,1.3,1.1,2017-01-02,0800,Terra,MODIS,68,6.2,302.3,13.9,D,0
1.8323,36.7659,333.9,1.2,1.1,2017-01-02,1056,Aqua,MODIS,75,6.2,307.8,24.8,D,0
1.8338,36.7765,328,1.2,1.1,2017-01-02,1056,Aqua,MODIS,59,6.2,306.8,15.3,D,0
1.2335,38.9416,379.7,1,1,2017-01-02,1056,Aqua,MODIS,100,6.2,318.1,129.1,D,0
1.2322,38.9327,361.7,1,1,2017-01-02,1056,Aqua,MODIS,100,6.2,315.5,67.6,D,0
1.2425,38.9403,340.3,1,1,2017-01-02,1056,Aqua,MODIS,61,6.2,318,19.5,D,0
1.2412,38.9314,335.2,1,1,2017-01-02,1056,Aqua,MODIS,35,6.2,315.3,11.5,D,0
-0.0453,37.1738,321.9,4.7,2,2017-01-03,0843,Terra,MODIS,66,6.2,293.9,164.6,D,0
0.6184,35.1208,319.2,3.2,1.7,2017-01-03,0843,Terra,MODIS,59,6.2,305.1,32.5,D,0
-0.0399,37.1405,316.5,4.7,2,2017-01-03,0843,Terra,MODIS,29,6.2,297,98.5,D,0
-0.0457,37.1781,317.8,4.7,2,2017-01-03,0843,Terra,MODIS,49,6.2,293.5,126.4,D,0
-0.4698,36.3495,322.8,2.6,1.6,2017-01-03,1139,Aqua,MODIS,37,6.2,307.4,22.3,D,0
-0.0964,35.5402,335.9,2.3,1.5,2017-01-03,1139,Aqua,MODIS,83,6.2,305.2,88.8,D,0
1.5401,35.5765,324.6,1.8,1.3,2017-01-04,0747,Terra,MODIS,64,6.2,309.6,20.6,D,0
-0.7914,36.1308,314.1,1.5,1.2,2017-01-04,0748,Terra,MODIS,31,6.2,299.6,10.7,D,0
1.0778,34.9107,327.3,2.8,1.6,2017-01-04,1044,Aqua,MODIS,74,6.2,311.2,51.1,D,0
-0.0345,35.7619,300.7,1,1,2017-01-04,2009,Terra,MODIS,32,6.2,284.4,6.5,N,0
-0.0667,34.8254,302.9,1,1,2017-01-04,2009,Terra,MODIS,52,6.2,291.7,5.5,N,0
0.5953,34.1705,341.6,1.5,1.2,2017-01-05,0830,Terra,MODIS,89,6.2,310.9,56.6,D,0
0.5915,34.1771,328.1,1.5,1.2,2017-01-05,0830,Terra,MODIS,77,6.2,311.3,22.3,D,0
0.5935,34.1636,342.7,1.5,1.2,2017-01-05,0830,Terra,MODIS,90,6.2,310.3,62.4,D,0
-0.0622,34.8693,327.2,1.8,1.3,2017-01-05,0831,Terra,MODIS,79,6.2,311.2,24,D,0
-0.0652,34.8306,353.2,1.8,1.3,2017-01-05,0831,Terra,MODIS,96,6.2,313.8,122.1,D,0
-0.0766,34.8303,345.2,1.2,1.1,2017-01-05,1127,Aqua,MODIS,90,6.2,321.5,39.1,D,0
0.0626,34.0215,332.4,1.1,1.1,2017-01-05,1127,Aqua,MODIS,44,6.2,312.6,18.6,D,0
-0.4675,33.9741,330.9,1.1,1,2017-01-05,1127,Aqua,MODIS,0,6.2,312.4,16.4,D,0
2.9332,34.8924,348.7,1.4,1.2,2017-01-05,1127,Aqua,MODIS,92,6.2,304.3,70.5,D,0
-0.0668,34.8289,339.7,1.2,1.1,2017-01-05,1127,Aqua,MODIS,85,6.2,319.1,27,D,0
1.2111,34.977,328.3,1.3,1.1,2017-01-05,1127,Aqua,MODIS,68,6.2,312,12.8,D,0
0.8776,34.5768,328.1,1.2,1.1,2017-01-05,1127,Aqua,MODIS,52,6.2,308.4,17.7,D,0
2.0669,35.2628,327,1.4,1.2,2017-01-05,1127,Aqua,MODIS,24,6.2,300.9,21.7,D,0
0.2483,34.0331,332.9,1.1,1.1,2017-01-05,1127,Aqua,MODIS,77,6.2,318.8,11,D,0
0.0589,34.0625,344.2,1.1,1.1,2017-01-05,1127,Aqua,MODIS,46,6.2,317.8,38.6,D,0
2.9489,34.9112,301.3,2.8,1.6,2017-01-05,2347,Aqua,MODIS,40,6.2,289.5,21.9,N,0
2.3052,35.1004,334.7,4.6,2,2017-01-06,1032,Aqua,MODIS,78,6.2,303.1,248.7,D,0
0.5922,35.308,305.6,1.2,1.1,2017-01-06,1957,Terra,MODIS,65,6.2,284.8,12.1,N,0
0.5938,35.3188,308.7,1.2,1.1,2017-01-06,1957,Terra,MODIS,75,6.2,284.5,14.8,N,0
3.8749,34.1276,304.8,1.3,1.1,2017-01-06,1958,Terra,MODIS,51,6.2,294.4,7.6,N,0
4.7792,35.2582,304.8,1.1,1.1,2017-01-06,1958,Terra,MODIS,62,6.2,293.4,6,N,0
0.739,35.4584,320.6,1.2,1.1,2017-01-07,0818,Terra,MODIS,44,6.2,306.5,7,D,0
-0.3883,35.8248,317.2,1.3,1.1,2017-01-07,0818,Terra,MODIS,52,6.2,301.3,10.3,D,0
-1.0527,37.1053,326.9,1.6,1.2,2017-01-07,0818,Terra,MODIS,77,6.2,306.4,25.2,D,0
0.6952,35.1963,323.8,1.1,1.1,2017-01-07,0818,Terra,MODIS,59,6.2,308.3,9.7,D,0
0.6967,35.1863,324.2,1.1,1.1,2017-01-07,0818,Terra,MODIS,61,6.2,308.9,10.5,D,0
1.1509,34.8415,327.2,1.1,1,2017-01-07,0818,Terra,MODIS,71,6.2,311.7,9.9,D,0
-1.3711,36.9215,324.1,1.6,1.2,2017-01-07,0819,Terra,MODIS,46,6.2,307.4,14.7,D,0
-1.3547,36.9023,322.7,1.5,1.2,2017-01-07,0819,Terra,MODIS,25,6.2,308.7,12.2,D,0
-0.0181,34.2,363.5,1,1,2017-01-07,1114,Aqua,MODIS,100,6.2,312.4,79.7,D,0
-0.7194,36.1789,352.1,1,1,2017-01-07,1114,Aqua,MODIS,96,6.2,312.8,52.8,D,0
-0.7181,36.188,341.8,1,1,2017-01-07,1114,Aqua,MODIS,75,6.2,316.1,30.3,D,0
-0.0026,35.6587,328.1,1,1,2017-01-07,1114,Aqua,MODIS,44,6.2,311.4,15.8,D,0
-0.9846,34.6461,325,1,1,2017-01-07,1114,Aqua,MODIS,32,6.2,308.9,12.2,D,0
-0.016,34.9829,355.1,1,1,2017-01-07,1114,Aqua,MODIS,97,6.2,317.3,56.9,D,0
-0.0147,34.9917,378.4,1,1,2017-01-07,1114,Aqua,MODIS,100,6.2,317.2,130.1,D,0
-0.934,36.2186,330.1,1,1,2017-01-07,1114,Aqua,MODIS,59,6.2,312.9,13,D,0
0.785,35.3715,330.8,1,1,2017-01-07,1115,Aqua,MODIS,69,6.2,315.7,10.9,D,0
0.7863,35.3804,330.8,1,1,2017-01-07,1115,Aqua,MODIS,68,6.2,315.5,10.8,D,0
0.0194,34.0283,316.9,1.5,1.2,2017-01-07,2336,Aqua,MODIS,94,6.2,288.2,30.1,N,0
1.2126,38.908,303.7,1.1,1.1,2017-01-08,1945,Terra,MODIS,57,6.2,291,6.9,N,0
4.8039,35.3054,328.6,1.1,1,2017-01-09,0805,Terra,MODIS,59,6.2,309.9,13.9,D,0
1.0043,34.9666,321.5,1,1,2017-01-09,0806,Terra,MODIS,56,6.2,307.3,7.1,D,0
-0.0284,34.9098,332,1,1,2017-01-09,0806,Terra,MODIS,80,6.2,307.1,18.8,D,0
-0.0375,34.9083,342.3,1,1,2017-01-09,0806,Terra,MODIS,89,6.2,306.7,34.8,D,0
