latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.9494,40.7621,326.3,1.2,1.1,2021-01-01,0735,Terra,MODIS,66,6.03,301.5,17.9,D,0
-1.9591,40.7607,328.1,1.2,1.1,2021-01-01,0735,Terra,MODIS,80,6.03,300.6,20.5,D,0
-1.3692,36.9157,314.8,1.5,1.2,2021-01-02,0818,Terra,MODIS,20,6.03,297.7,8.3,D,2
-1.373,36.9231,318,1.5,1.2,2021-01-02,0818,Terra,MODIS,70,6.03,299.7,13.7,D,2
0.0977,37.0158,328.7,1.5,1.2,2021-01-02,0818,Terra,MODIS,82,6.03,303.5,31.8,D,0
-1.0546,37.1064,317.4,1.6,1.2,2021-01-02,0818,Terra,MODIS,72,6.03,297,17.6,D,2
0.0925,37.0225,324.9,1.5,1.2,2021-01-02,0818,Terra,MODIS,79,6.03,303.2,24.6,D,0
0.0957,37.0289,318.9,1.5,1.2,2021-01-02,0818,Terra,MODIS,70,6.03,303.4,13.7,D,0
-1.7273,37.1128,326.6,1.1,1,2021-01-02,1114,Aqua,MODIS,75,6.03,306.6,12.9,D,0
-1.7327,37.1193,330.6,1.1,1,2021-01-02,1114,Aqua,MODIS,78,6.03,303.8,19.4,D,0
-1.7259,37.1224,326.8,1.1,1,2021-01-02,1114,Aqua,MODIS,75,6.03,302.7,12.7,D,0
0.8126,35.3076,322.9,1,1,2021-01-02,1115,Aqua,MODIS,69,6.03,307.7,7.7,D,0
4.4785,34.7402,346,1,1,2021-01-02,1116,Aqua,MODIS,87,6.03,300.8,44.4,D,0
4.5311,34.5951,335.3,1,1,2021-01-02,1116,Aqua,MODIS,64,6.03,305.6,24.2,D,0
4.5323,34.604,357.8,1,1,2021-01-02,1116,Aqua,MODIS,98,6.03,306.4,67.8,D,0
4.5247,34.6143,327.3,1,1,2021-01-02,1116,Aqua,MODIS,61,6.03,304.6,11,D,0
4.5157,34.6156,324.5,1,1,2021-01-02,1116,Aqua,MODIS,70,6.03,304.5,8.7,D,0
4.5171,34.681,300.8,3.1,1.7,2021-01-02,2040,Terra,MODIS,34,6.03,290.5,19.6,N,0
4.5164,34.6756,302.3,3.1,1.7,2021-01-02,2040,Terra,MODIS,48,6.03,290.5,24.4,N,0
4.5188,34.6865,305.2,1.5,1.2,2021-01-02,2335,Aqua,MODIS,63,6.03,290.6,11.7,N,0
3.4958,37.8152,316.9,4.1,1.9,2021-01-03,0722,Terra,MODIS,40,6.03,291.7,67.9,D,0
3.5037,37.8441,322,4.1,1.9,2021-01-03,0722,Terra,MODIS,65,6.03,292.3,105.3,D,0
-1.4897,41.0222,312.3,3.1,1.7,2021-01-03,1019,Aqua,MODIS,28,6.03,292.3,21.3,D,0
3.4851,37.8411,309.5,1.2,1.1,2021-01-03,1945,Terra,MODIS,29,6.03,290.5,11,N,0
3.4828,37.8388,321.5,1,1,2021-01-04,0804,Terra,MODIS,71,6.03,293.9,11.8,D,0
0.8874,35.2035,322,1,1,2021-01-04,0805,Terra,MODIS,70,6.03,305.5,10,D,0
0.8117,35.4055,319.4,1,1,2021-01-04,0805,Terra,MODIS,69,6.03,304.1,7.5,D,0
0.328,35.3727,317.3,1,1,2021-01-04,0805,Terra,MODIS,66,6.03,304.5,6.4,D,0
-2.1486,40.8946,324.8,1.8,1.3,2021-01-04,0806,Terra,MODIS,69,6.03,298.3,36.3,D,0
-3.1074,40.0189,334.6,1,1,2021-01-04,1101,Aqua,MODIS,80,6.03,303.7,21.9,D,0
-3.2912,40.0201,330.6,1,1,2021-01-04,1101,Aqua,MODIS,77,6.03,306.7,14.5,D,0
-3.1087,40.0096,348.7,1,1,2021-01-04,1101,Aqua,MODIS,93,6.03,305,47.6,D,0
-2.0822,40.8226,328.8,1.1,1.1,2021-01-04,1102,Aqua,MODIS,71,6.03,302.3,16.2,D,0
-2.0867,40.8186,331.1,1.1,1.1,2021-01-04,1102,Aqua,MODIS,73,6.03,303.1,15.7,D,0
-2.0852,40.8287,328,1.1,1.1,2021-01-04,1102,Aqua,MODIS,47,6.03,302.7,11.6,D,0
0.054,37.3511,317.9,1,1,2021-01-04,1102,Aqua,MODIS,64,6.03,300,11.4,D,0
3.4756,37.8406,318.7,1,1,2021-01-04,1103,Aqua,MODIS,23,6.03,294.1,8,D,0
4.3997,34.3758,303.8,1,1,2021-01-04,2323,Aqua,MODIS,57,6.03,292.7,5.3,N,0
