latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
2.9102,36.1589,325.2,3,1.7,2015-01-01,0735,Terra,MODIS,57,6.2,308.4,28.9,D,0
3.8971,34.1101,322.4,1,1,2015-01-02,0817,Terra,MODIS,46,6.2,311.7,9.7,D,0
1.0708,35.213,317.5,1.1,1.1,2015-01-02,0818,Terra,MODIS,61,6.2,303.7,9.1,D,0
1.0614,34.5275,342.7,1.1,1,2015-01-02,0818,Terra,MODIS,91,6.2,302.8,44.5,D,0
1.0601,34.5369,328,1.1,1,2015-01-02,0818,Terra,MODIS,79,6.2,304.4,20.7,D,0
-0.2743,36.0127,320,1.3,1.1,2015-01-02,0818,Terra,MODIS,67,6.2,307.1,9.5,D,0
1.0693,34.5379,326.6,1.1,1,2015-01-02,0818,Terra,MODIS,67,6.2,301.8,18.4,D,0
0.8268,35.2892,328.9,1.1,1.1,2015-01-02,0818,Terra,MODIS,79,6.2,308.5,18.5,D,0
1.0161,34.8965,324,1.1,1,2015-01-02,0818,Terra,MODIS,74,6.2,308.9,13.1,D,0
0.8218,35.2925,320.5,1.2,1.1,2015-01-02,0818,Terra,MODIS,60,6.2,308.3,8.8,D,0
1.0047,34.845,320.1,1.1,1,2015-01-02,0818,Terra,MODIS,67,6.2,308.9,6.8,D,0
1.0586,34.5464,323.4,1.1,1,2015-01-02,0818,Terra,MODIS,62,6.2,303,14.9,D,0
-1.0465,37.1078,317.1,1.6,1.2,2015-01-02,0819,Terra,MODIS,46,6.2,304.2,10.5,D,0
-3.0711,39.3606,334.6,1.4,1.2,2015-01-02,1114,Aqua,MODIS,78,6.2,311.2,27,D,0
0.0858,35.5506,331.2,1,1,2015-01-02,1115,Aqua,MODIS,78,6.2,302.9,24.2,D,0
0.3094,34.7963,326.6,1,1,2015-01-02,1115,Aqua,MODIS,71,6.2,307.7,15.8,D,0
0.9282,34.8788,345.4,1,1,2015-01-02,1115,Aqua,MODIS,91,6.2,318,38.8,D,0
0.9269,34.8699,334,1,1,2015-01-02,1115,Aqua,MODIS,81,6.2,314.1,19.8,D,0
1.0329,34.8967,323.5,1,1,2015-01-02,1115,Aqua,MODIS,60,6.2,310.2,9.4,D,0
0.5936,34.4739,321.3,1,1,2015-01-02,1115,Aqua,MODIS,59,6.2,306.5,7.4,D,0
3.8206,34.2051,324.8,1.2,1.1,2015-01-04,0805,Terra,MODIS,51,6.2,306.2,11.9,D,0
1.0488,34.58,320.3,1.1,1,2015-01-04,0806,Terra,MODIS,44,6.2,302.4,10.1,D,0
0.9833,35.1532,318.5,1,1,2015-01-04,0806,Terra,MODIS,59,6.2,306.9,5.4,D,0
-0.1559,35.63,314.2,1,1,2015-01-04,0806,Terra,MODIS,35,6.2,302.8,6.5,D,0
-0.3414,35.3914,316,1,1,2015-01-04,0806,Terra,MODIS,57,6.2,296.1,11.5,D,0
0.9933,34.839,321.9,1,1,2015-01-04,0806,Terra,MODIS,67,6.2,310.3,8.3,D,0
-3.0538,39.3706,336.5,1.5,1.2,2015-01-04,0807,Terra,MODIS,85,6.2,304.2,45.8,D,0
-3.0518,39.3574,343.5,1.5,1.2,2015-01-04,0807,Terra,MODIS,90,6.2,304.9,65.4,D,0
-2.6177,40.2791,326.9,1.1,1,2015-01-04,1102,Aqua,MODIS,58,6.2,304.1,14.1,D,0
0.6601,35.258,327.3,1.2,1.1,2015-01-04,1103,Aqua,MODIS,72,6.2,311.1,12.8,D,0
0.6659,34.8819,322.6,1.3,1.1,2015-01-04,1103,Aqua,MODIS,63,6.2,300.3,17.1,D,0
0.8987,35.2218,320.8,1.2,1.1,2015-01-04,1103,Aqua,MODIS,51,6.2,307.5,10.1,D,0
1.1064,34.893,320.2,1.3,1.1,2015-01-04,1103,Aqua,MODIS,59,6.2,307.5,10.4,D,0
-0.1672,35.8246,333.5,1.2,1.1,2015-01-04,1103,Aqua,MODIS,63,6.2,310,25.9,D,0
-0.1576,35.8233,333.1,1.2,1.1,2015-01-04,1103,Aqua,MODIS,67,6.2,312.6,22.9,D,0
-0.1591,35.8131,331.7,1.2,1.1,2015-01-04,1103,Aqua,MODIS,44,6.2,306.9,22.9,D,0
0.6569,35.2539,324.3,1.2,1.1,2015-01-04,1103,Aqua,MODIS,55,6.2,310.8,7.6,D,0
4.7648,34.8695,353.5,1.1,1.1,2015-01-04,1104,Aqua,MODIS,95,6.2,315.8,59.2,D,0
3.8278,34.2089,337.8,1.3,1.1,2015-01-04,1104,Aqua,MODIS,81,6.2,313.3,34.6,D,0
0.0499,37.3448,315.7,1.1,1,2015-01-06,0754,Terra,MODIS,18,6.2,297.9,9.3,D,0
-1.8898,40.7566,321.6,1,1,2015-01-06,1050,Aqua,MODIS,58,6.2,298.6,11.4,D,0
-1.8911,40.7475,318.8,1,1,2015-01-06,1050,Aqua,MODIS,37,6.2,298.7,8.5,D,0
2.9777,35.4389,305.2,1.2,1.1,2015-01-06,2016,Terra,MODIS,63,6.2,292.7,8.1,N,0
2.9792,35.4495,324,1.2,1.1,2015-01-06,2016,Terra,MODIS,100,6.2,293.4,27.8,N,0
-0.0235,34.0436,318.8,1.4,1.2,2015-01-07,1133,Aqua,MODIS,46,6.2,298.6,17,D,0
-1.7767,41.1331,315.4,1.4,1.2,2015-01-08,1038,Aqua,MODIS,55,6.2,291.9,14.7,D,0
3.911,34.1624,324.8,3.8,1.8,2015-01-08,1039,Aqua,MODIS,51,6.2,300.8,95.8,D,0
3.9183,34.1544,325.6,3.8,1.8,2015-01-08,1039,Aqua,MODIS,57,6.2,300.9,100.3,D,0
2.3235,34.8859,326.5,1.3,1.1,2015-01-09,0824,Terra,MODIS,70,6.2,300.7,22.9,D,0
3.8216,34.1881,321.5,1.1,1.1,2015-01-09,0824,Terra,MODIS,36,6.2,305.3,10.5,D,0
3.8231,34.178,322.8,1.1,1.1,2015-01-09,0824,Terra,MODIS,48,6.2,304.7,13.1,D,0
0.5968,35.4144,317.7,1.5,1.2,2015-01-09,0824,Terra,MODIS,62,6.2,301.9,12.6,D,0
2.3228,34.8914,322.2,1.3,1.1,2015-01-09,0824,Terra,MODIS,56,6.2,300.7,17.3,D,0
-0.0434,35.2124,324.8,1.5,1.2,2015-01-09,0825,Terra,MODIS,79,6.2,301.8,24.9,D,0
-0.4648,33.9709,312.1,1.2,1.1,2015-01-09,0825,Terra,MODIS,0,6.2,297.9,7.3,D,0
-0.0453,35.2256,325.2,1.5,1.2,2015-01-09,0825,Terra,MODIS,79,6.2,302.3,26.1,D,0
-0.0616,35.1765,323.3,1.1,1,2015-01-09,1121,Aqua,MODIS,66,6.2,305.6,9.5,D,0
0.9695,35.7856,326.4,1,1,2015-01-11,1109,Aqua,MODIS,72,6.2,306.2,13.9,D,0
-0.1727,36.0399,367.6,1,1,2015-01-11,1109,Aqua,MODIS,100,6.2,311.4,95.6,D,0
-0.1714,36.0489,332.1,1,1,2015-01-11,1109,Aqua,MODIS,83,6.2,307.6,17.2,D,0
1.0343,35.1492,321.5,1,1,2015-01-11,1109,Aqua,MODIS,65,6.2,302.9,10.5,D,0
4.6424,34.8916,325.9,1,1,2015-01-11,1110,Aqua,MODIS,58,6.2,311.2,5.4,D,0
0.9517,35.2604,322.3,1.2,1.1,2015-01-13,0800,Terra,MODIS,66,6.2,306.6,11.5,D,0
1.1748,34.7974,319,1.2,1.1,2015-01-13,0800,Terra,MODIS,47,6.2,303.7,9.3,D,0
0.5343,35.3944,316,1.1,1.1,2015-01-13,0800,Terra,MODIS,35,6.2,299,6.8,D,0
-2.48,40.5998,319.6,1,1,2015-01-13,1056,Aqua,MODIS,24,6.2,297.2,8.8,D,0
-2.0879,40.8302,325.1,1,1,2015-01-13,1056,Aqua,MODIS,39,6.2,304.9,10.1,D,0
-3.7323,39.8225,332.9,1,1,2015-01-13,1056,Aqua,MODIS,77,6.2,305.2,21.3,D,0
-3.7297,39.8405,325.7,1,1,2015-01-13,1056,Aqua,MODIS,53,6.2,305.8,11.7,D,0
-2.4813,40.5909,321.3,1,1,2015-01-13,1056,Aqua,MODIS,29,6.2,299.1,9.6,D,0
-3.2908,37.7636,328.3,1.2,1.1,2015-01-13,1056,Aqua,MODIS,23,6.2,311.8,10.5,D,0
-0.2347,35.1465,300.9,1.3,1.1,2015-01-13,2022,Terra,MODIS,34,6.2,288.2,6.6,N,0
4.7396,34.6608,309.2,1.4,1.2,2015-01-13,2023,Terra,MODIS,65,6.2,295.5,11.7,N,0
4.747,34.6663,308.2,1.4,1.2,2015-01-13,2023,Terra,MODIS,49,6.2,295.3,9.9,N,0
4.7408,34.6742,313.9,1,1,2015-01-13,2317,Aqua,MODIS,88,6.2,295.8,11,N,0
4.7395,34.6832,320.8,1,1,2015-01-13,2317,Aqua,MODIS,100,6.2,296.4,17.3,N,0
4.7473,34.645,326.2,2.5,1.5,2015-01-14,0842,Terra,MODIS,70,6.2,306.8,35.7,D,0
4.7412,34.6497,328,2.5,1.5,2015-01-14,0842,Terra,MODIS,74,6.2,307.8,43.4,D,0
-0.014,35.5291,310.4,3.6,1.8,2015-01-14,0843,Terra,MODIS,37,6.2,293.1,41.9,D,0
0.6235,35.2352,317.1,3.3,1.7,2015-01-14,0843,Terra,MODIS,59,6.2,304.4,34.2,D,0
0.6248,35.2115,335.4,3.3,1.7,2015-01-14,0843,Terra,MODIS,86,6.2,304.9,151.7,D,0
0.6276,35.2067,329.2,3.3,1.7,2015-01-14,0843,Terra,MODIS,81,6.2,305.2,104.7,D,0
-0.0231,34.8216,327.6,2.1,1.4,2015-01-14,1140,Aqua,MODIS,72,6.2,305,41.3,D,0
-0.3458,36.3817,322.9,2.7,1.6,2015-01-14,1140,Aqua,MODIS,69,6.2,308.1,35.2,D,0
0.6089,35.2126,326.7,2.3,1.5,2015-01-14,1140,Aqua,MODIS,69,6.2,309.5,30.7,D,0
0.0472,34.1207,320.4,1.8,1.3,2015-01-14,1140,Aqua,MODIS,37,6.2,298.8,22.6,D,0
-0.0251,35.5274,326.7,2.3,1.5,2015-01-14,1140,Aqua,MODIS,69,6.2,297.5,62.4,D,0
-0.3422,36.4061,330.5,2.7,1.6,2015-01-14,1140,Aqua,MODIS,80,6.2,307.7,72.4,D,0
4.747,34.6371,331.6,2.4,1.5,2015-01-14,1141,Aqua,MODIS,73,6.2,314.1,35,D,0
-1.7389,40.9559,306.2,1.8,1.3,2015-01-14,1926,Terra,MODIS,67,6.2,295.8,13.2,N,0
-1.7412,40.9397,306.1,1.8,1.3,2015-01-14,1926,Terra,MODIS,67,6.2,295.7,13.2,N,0
-3.346,38.4342,301.3,3.6,1.8,2015-01-14,2224,Aqua,MODIS,40,6.2,290.9,29.4,N,0
-0.0187,35.5407,315.2,1.7,1.3,2015-01-15,0748,Terra,MODIS,56,6.2,297.6,18,D,0
-1.744,40.9403,331.8,1,1,2015-01-15,0748,Terra,MODIS,79,6.2,308.2,21.6,D,0
-1.7453,40.9493,328.2,1,1,2015-01-15,0748,Terra,MODIS,66,6.2,309.3,15.6,D,0
-1.753,40.939,326.8,1,1,2015-01-15,0748,Terra,MODIS,66,6.2,306.6,14.2,D,0
-1.7544,40.948,327.9,1,1,2015-01-15,0748,Terra,MODIS,58,6.2,307,14.6,D,0
0.8879,34.8301,321.3,2,1.4,2015-01-15,0748,Terra,MODIS,67,6.2,308.2,21.1,D,0
