lat,lon,XCO2 (mol CO2/mol dry),XCO2PREC (mol CO2/mol dry),Month,Year,DATE,population,primary_fuel,commissioning_year,capacity_mw,city_ascii,capital,city_pop_2022,month,brightness,scan,track,bright_t31,frp,city,state,plant_type,longitude,latitude
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,1999,120,Mombasa,admin,1200000,2,330.7,1.25,1.08,305,15.98,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,1999,120,Mombasa,admin,1200000,2,330.7,1.25,1.08,305,15.98,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,1999,120,Kwale,admin,,2,330.7,1.25,1.08,305,15.98,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,1999,120,Kwale,admin,,2,330.7,1.25,1.08,305,15.98,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,2001,74.5,Mombasa,admin,1200000,2,330.7,1.25,1.08,305,15.98,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,2001,74.5,Mombasa,admin,1200000,2,330.7,1.25,1.08,305,15.98,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,2001,74.5,Kwale,admin,,2,330.7,1.25,1.08,305,15.98,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,2001,74.5,Kwale,admin,,2,330.7,1.25,1.08,305,15.98,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,2011,74,Mombasa,admin,1200000,2,330.7,1.25,1.08,305,15.98,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,2011,74,Mombasa,admin,1200000,2,330.7,1.25,1.08,305,15.98,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,2011,74,Kwale,admin,,2,330.7,1.25,1.08,305,15.98,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404759,3.19E-08,2,2017,01-02-17,1257697.2,Oil,2011,74,Kwale,admin,,2,330.7,1.25,1.08,305,15.98,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,1999,120,Mombasa,admin,1200000,11,326.5,1.2,1.1,305.5,17.4,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,1999,120,Mombasa,admin,1200000,11,326.5,1.2,1.1,305.5,17.4,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,1999,120,Kwale,admin,,11,326.5,1.2,1.1,305.5,17.4,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,1999,120,Kwale,admin,,11,326.5,1.2,1.1,305.5,17.4,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,2001,74.5,Mombasa,admin,1200000,11,326.5,1.2,1.1,305.5,17.4,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,2001,74.5,Mombasa,admin,1200000,11,326.5,1.2,1.1,305.5,17.4,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,2001,74.5,Kwale,admin,,11,326.5,1.2,1.1,305.5,17.4,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,2001,74.5,Kwale,admin,,11,326.5,1.2,1.1,305.5,17.4,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,2011,74,Mombasa,admin,1200000,11,326.5,1.2,1.1,305.5,17.4,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,2011,74,Mombasa,admin,1200000,11,326.5,1.2,1.1,305.5,17.4,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,2011,74,Kwale,admin,,11,326.5,1.2,1.1,305.5,17.4,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404822,1.83E-08,11,2017,01-11-17,1257697.2,Oil,2011,74,Kwale,admin,,11,326.5,1.2,1.1,305.5,17.4,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,1999,120,Mombasa,admin,1200000,3,325.35,1.35,1.12,298.92,20.48,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,1999,120,Mombasa,admin,1200000,3,325.35,1.35,1.12,298.92,20.48,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,1999,120,Kwale,admin,,3,325.35,1.35,1.12,298.92,20.48,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,1999,120,Kwale,admin,,3,325.35,1.35,1.12,298.92,20.48,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,2001,74.5,Mombasa,admin,1200000,3,325.35,1.35,1.12,298.92,20.48,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,2001,74.5,Mombasa,admin,1200000,3,325.35,1.35,1.12,298.92,20.48,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,2001,74.5,Kwale,admin,,3,325.35,1.35,1.12,298.92,20.48,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,2001,74.5,Kwale,admin,,3,325.35,1.35,1.12,298.92,20.48,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,2011,74,Mombasa,admin,1200000,3,325.35,1.35,1.12,298.92,20.48,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,2011,74,Mombasa,admin,1200000,3,325.35,1.35,1.12,298.92,20.48,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,2011,74,Kwale,admin,,3,325.35,1.35,1.12,298.92,20.48,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000404413,4.92E-08,3,2017,01-03-17,1257697.2,Oil,2011,74,Kwale,admin,,3,325.35,1.35,1.12,298.92,20.48,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000399215,1.81E-08,7,2015,01-07-15,1190632.5,Oil,1999,120,Mombasa,admin,1200000,7,307.38,2.2,1.42,289.04,21.12,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000399215,1.81E-08,7,2015,01-07-15,1190632.5,Oil,1999,120,Mombasa,admin,1200000,7,307.38,2.2,1.42,289.04,21.12,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000399215,1.81E-08,7,2015,01-07-15,1190632.5,Oil,1999,120,Kwale,admin,,7,307.38,2.2,1.42,289.04,21.12,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000399215,1.81E-08,7,2015,01-07-15,1190632.5,Oil,1999,120,Kwale,admin,,7,307.38,2.2,1.42,289.04,21.12,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000399215,1.81E-08,7,2015,01-07-15,1190632.5,Oil,2001,74.5,Mombasa,admin,1200000,7,307.38,2.2,1.42,289.04,21.12,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000399215,1.81E-08,7,2015,01-07-15,1190632.5,Oil,2001,74.5,Mombasa,admin,1200000,7,307.38,2.2,1.42,289.04,21.12,,,Oil refineries,39.375,-4.5
