lat,lon,XCO2 (mol CO2/mol dry),XCO2PREC (mol CO2/mol dry),Month,Year,DATE,population,primary_fuel,commissioning_year,capacity_mw,city_ascii,capital,city_pop_2022,month,brightness,scan,track,bright_t31,frp,city,state,plant_type,longitude,latitude
-5,38.75,0.000413931,5.42E-08,2,2021,01-02-21,,,,,,,,2,334.72,1.44,1.12,306.5,23.9,,,,,
-5,38.75,0.000413935,3.57E-08,3,2021,01-03-21,,,,,,,,3,330.7,1.15,1.05,306.35,14.65,,,,,
-5,38.75,0.000404305,5.43E-08,3,2017,01-03-17,76316.34,,,,,,,3,326.8,1,1,304.7,13.9,,,,,
-5,38.75,0.000398426,2.36E-08,1,2015,01-01-15,71487.75,,,,,,,1,325.2,1.1,1,304,10.1,,,,,
-5,38.75,0.000398806,1.80E-08,3,2015,01-03-15,71487.75,,,,,,,3,329.43,2.04,1.36,301.93,33.81,,,,,
-5,38.75,0.000399556,3.57E-08,10,2015,01-10-15,71487.75,,,,,,,10,330,1.1,1,305.2,15.4,,,,,
-5,38.75,0.000399147,2.87E-08,9,2015,01-09-15,71487.75,,,,,,,9,322.2,1.1,1,302.6,8.7,,,,,
-5,38.75,0.000399757,2.80E-08,11,2015,01-11-15,71487.75,,,,,,,11,323.5,1.1,1,300.2,10.4,,,,,
-5,38.75,0.000398555,2.86E-08,2,2015,01-02-15,71487.75,,,,,,,2,329.23,1.29,1.1,305,14.78,,,,,
-5,38.75,0.000411993,3.64E-08,7,2020,01-07-20,83089.2,,,,,,,7,312.9,1,1,296.3,5.9,,,,,
-5,38.75,0.000412082,2.08E-08,10,2020,01-10-20,83089.2,,,,,,,10,330.67,1.23,1.07,308.43,16.8,,,,,
-5,38.75,0.000410835,6.84E-08,4,2020,01-04-20,83089.2,,,,,,,4,307.5,1,1,292.5,5.9,,,,,
-5,38.75,0.000411636,2.33E-08,3,2020,01-03-20,83089.2,,,,,,,3,312.42,1.05,1,293.73,9.8,,,,,
-5,38.75,0.000411386,3.85E-08,2,2020,01-02-20,83089.2,,,,,,,2,315.35,1.85,1.3,294.8,22.55,,,,,
-5,38.75,0.000411995,1.80E-08,8,2020,01-08-20,83089.2,,,,,,,8,319,1.2,1.1,299.2,10.85,,,,,
-5,38.75,0.000411882,2.75E-08,9,2020,01-09-20,83089.2,,,,,,,9,325.62,1.24,1.1,304.02,13,,,,,
-5,38.75,0.000408314,1.91E-08,1,2019,01-01-19,80747.234,,,,,,,1,330.12,1.18,1.05,302.82,20.48,,,,,
-5,38.75,0.000409195,2.21E-08,3,2019,01-03-19,80747.234,,,,,,,3,324.87,1.8,1.3,300.67,20.4,,,,,
-5,38.75,0.00040154,4.44E-08,1,2016,01-01-16,74151.37,,,,,,,1,322.2,1.1,1.05,300.35,9.5,,,,,
-5,38.75,0.000402623,4.52E-08,10,2016,01-10-16,74151.37,,,,,,,10,327.35,1.1,1,309.45,10.1,,,,,
-5,38.75,0.000401983,4.11E-08,3,2016,01-03-16,74151.37,,,,,,,3,332.3,1.47,1.13,298.73,53.5,,,,,
-5,38.75,0.000402371,4.21E-08,2,2016,01-02-16,74151.37,,,,,,,2,328.84,1.4,1.13,304,18.56,,,,,
-5,38.75,0.000402908,2.38E-08,11,2016,01-11-16,74151.37,,,,,,,11,333.5,1,1,310.2,15.9,,,,,
-5,38.75,0.000407766,2.39E-08,12,2018,01-12-18,78396.08,,,,,,,12,317.9,1.5,1.2,297.4,15.2,,,,,
-5,38.75,0.000407262,4.86E-08,3,2018,01-03-18,78396.08,,,,,,,3,340.3,1.05,1,300.2,34.35,,,,,
-5,38.75,0.000406319,2.99E-08,1,2018,01-01-18,78396.08,,,,,,,1,321.7,1.2,1.05,301,8.05,,,,,
-5,38.75,0.0004064,3.65E-08,2,2018,01-02-18,78396.08,,,,,,,2,321.17,1.1,1.03,300.5,15.03,,,,,
-5,39.375,0.000413955,3.60E-08,3,2021,01-03-21,,,,,,,,3,332.6,1.25,1.1,303.3,26.05,,,,,
-5,39.375,0.000404304,5.27E-08,3,2017,01-03-17,19389.43,,,,,,,3,320.4,1.45,1.15,296.25,10.8,,,,,
-5,39.375,0.000397206,3.51E-08,4,2015,01-04-15,16501.828,,,,,,,4,314.6,1,1,295.8,10.4,,,,,
-5,39.375,0.000398751,1.80E-08,3,2015,01-03-15,16501.828,,,,,,,3,333.75,1.1,1,304.15,17.6,,,,,
-5,39.375,0.000398564,2.62E-08,2,2015,01-02-15,16501.828,,,,,,,2,327.47,1.33,1.13,303.1,17.1,,,,,
-5,39.375,0.000412036,1.92E-08,10,2020,01-10-20,21041.506,,,,,,,10,320.4,1,1,300.7,5.9,,,,,
-5,39.375,0.000411401,3.62E-08,2,2020,01-02-20,21041.506,,,,,,,2,326.8,1,1,301.6,11.6,,,,,
-5,39.375,0.000403444,2.81E-08,12,2016,01-12-16,18971.535,,,,,,,12,321.8,1.7,1.3,296.6,24.7,,,,,
-5,39.375,0.00040241,4.17E-08,2,2016,01-02-16,18971.535,,,,,,,2,325.5,2.9,1.6,294.1,45.9,,,,,
-5,39.375,0.000407265,4.94E-08,3,2018,01-03-18,19718.379,,,,,,,3,335.1,1.1,1,301.5,26.8,,,,,
-4.5,38.125,0.000413912,3.15E-08,3,2021,01-03-21,,,,,,,,3,334,1.2,1.1,311.9,16.2,,,,,
-4.5,38.125,0.000414043,3.26E-08,6,2021,01-06-21,,,,,,,,6,322.9,1.1,1,302,11.3,,,,,
-4.5,38.125,0.000399134,3.03E-08,9,2015,01-09-15,3172.8442,,,,,,,9,322.2,1.8,1.3,300.6,14.5,,,,,
-4.5,38.125,0.000412028,2.25E-08,10,2020,01-10-20,2812.0876,,,,,,,10,334.95,1.5,1.2,308.7,30.5,,,,,
-4.5,38.125,0.000411357,2.24E-08,6,2020,01-06-20,2812.0876,,,,,,,6,324.42,1.04,1.04,298.76,17.1,,,,,
-4.5,38.125,0.000412079,3.44E-08,11,2020,01-11-20,2812.0876,,,,,,,11,329.1,1.75,1.3,303.55,25.1,,,,,
-4.5,38.125,0.000402559,4.45E-08,10,2016,01-10-16,2785.09,,,,,,,10,332.3,1.1,1,310.5,13.5,,,,,
-4.5,38.125,0.000406898,2.86E-08,7,2018,01-07-18,2820.55,,,,,,,7,323.5,1,1,305.1,7.3,,,,,
-4.5,38.75,0.00041401,3.21E-08,3,2021,01-03-21,,,,,,,,3,338.1,1.3,1.1,308.95,25.3,,,,,
-4.5,38.75,0.000414113,3.20E-08,6,2021,01-06-21,,,,,,,,6,321.8,1,1,295.6,12.1,,,,,
-4.5,38.75,0.000404716,3.19E-08,2,2017,01-02-17,240005.5,,,,,,,2,332.5,1,1,302.4,15.7,,,,,
-4.5,38.75,0.000397405,3.77E-08,4,2015,01-04-15,229374.72,,,,,,,4,313.4,3.3,1.7,291.2,35.3,,,,,
-4.5,38.75,0.000398416,2.39E-08,1,2015,01-01-15,229374.72,,,,,,,1,332.32,1.52,1.2,307.92,22.78,,,,,
-4.5,38.75,0.000398893,1.80E-08,3,2015,01-03-15,229374.72,,,,,,,3,331.21,1.34,1.13,307.39,16.75,,,,,
-4.5,38.75,0.000399707,2.88E-08,11,2015,01-11-15,229374.72,,,,,,,11,321.63,1.53,1.2,301.33,21,,,,,
-4.5,38.75,0.00039855,2.79E-08,2,2015,01-02-15,229374.72,,,,,,,2,335.4,1.22,1.06,313.34,15.71,,,,,
-4.5,38.75,0.000411995,3.79E-08,7,2020,01-07-20,262260.16,,,,,,,7,325.21,2.09,1.34,296.23,48.29,,,,,
-4.5,38.75,0.000411451,2.02E-08,6,2020,01-06-20,262260.16,,,,,,,6,320.19,1.39,1.12,299.81,15.55,,,,,
-4.5,38.75,0.000410951,2.25E-08,5,2020,01-05-20,262260.16,,,,,,,5,317.5,4,1.9,290.25,82.05,,,,,
-4.5,38.75,0.000411873,2.75E-08,9,2020,01-09-20,262260.16,,,,,,,9,325.23,1.45,1.18,302.5,15.92,,,,,
-4.5,38.75,0.00040888,3.56E-08,4,2019,01-04-19,254934.31,,,,,,,4,335.1,1,1,307.7,19.6,,,,,
-4.5,38.75,0.000408936,2.11E-08,2,2019,01-02-19,254934.31,,,,,,,2,332.6,1.65,1.22,305.63,28.18,,,,,
-4.5,38.75,0.000409257,2.25E-08,3,2019,01-03-19,254934.31,,,,,,,3,333.34,1.16,1.04,310.01,16.42,,,,,
-4.5,38.75,0.000403469,3.01E-08,12,2016,01-12-16,232847.92,,,,,,,12,320.9,1,1,300.6,11.1,,,,,
-4.5,38.75,0.000402046,4.23E-08,3,2016,01-03-16,232847.92,,,,,,,3,306.9,1,1,294.4,6.7,,,,,
-4.5,38.75,0.00040238,3.87E-08,2,2016,01-02-16,232847.92,,,,,,,2,330.98,1.05,1.02,307.35,11,,,,,
-4.5,38.75,0.000402309,2.71E-08,9,2016,01-09-16,232847.92,,,,,,,9,336.3,1,1,311.9,21.2,,,,,
-4.5,38.75,0.000406763,2.77E-08,9,2018,01-09-18,247429.31,,,,,,,9,330.17,1.23,1.07,309.62,15.12,,,,,
-4.5,38.75,0.000406733,2.40E-08,10,2018,01-10-18,247429.31,,,,,,,10,335.1,1,1,311.5,17.8,,,,,
-4.5,38.75,0.000406887,3.29E-08,8,2018,01-08-18,247429.31,,,,,,,8,325.55,1,1,305.95,10,,,,,
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,1999,120,Mombasa,admin,1200000,11,333.64,1.32,1.14,304.64,37.34,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,1999,120,Mombasa,admin,1200000,11,333.64,1.32,1.14,304.64,37.34,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,1999,120,Kwale,admin,,11,333.64,1.32,1.14,304.64,37.34,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,1999,120,Kwale,admin,,11,333.64,1.32,1.14,304.64,37.34,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,2001,74.5,Mombasa,admin,1200000,11,333.64,1.32,1.14,304.64,37.34,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,2001,74.5,Mombasa,admin,1200000,11,333.64,1.32,1.14,304.64,37.34,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,2001,74.5,Kwale,admin,,11,333.64,1.32,1.14,304.64,37.34,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,2001,74.5,Kwale,admin,,11,333.64,1.32,1.14,304.64,37.34,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,2011,74,Mombasa,admin,1200000,11,333.64,1.32,1.14,304.64,37.34,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,2011,74,Mombasa,admin,1200000,11,333.64,1.32,1.14,304.64,37.34,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,2011,74,Kwale,admin,,11,333.64,1.32,1.14,304.64,37.34,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000414769,2.94E-08,11,2021,01-11-21,,Oil,2011,74,Kwale,admin,,11,333.64,1.32,1.14,304.64,37.34,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,1999,120,Mombasa,admin,1200000,4,319,1.6,1.2,298.8,18.8,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,1999,120,Mombasa,admin,1200000,4,319,1.6,1.2,298.8,18.8,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,1999,120,Kwale,admin,,4,319,1.6,1.2,298.8,18.8,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,1999,120,Kwale,admin,,4,319,1.6,1.2,298.8,18.8,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,2001,74.5,Mombasa,admin,1200000,4,319,1.6,1.2,298.8,18.8,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,2001,74.5,Mombasa,admin,1200000,4,319,1.6,1.2,298.8,18.8,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,2001,74.5,Kwale,admin,,4,319,1.6,1.2,298.8,18.8,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,2001,74.5,Kwale,admin,,4,319,1.6,1.2,298.8,18.8,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,2011,74,Mombasa,admin,1200000,4,319,1.6,1.2,298.8,18.8,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,2011,74,Mombasa,admin,1200000,4,319,1.6,1.2,298.8,18.8,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,2011,74,Kwale,admin,,4,319,1.6,1.2,298.8,18.8,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000413048,3.58E-08,4,2021,01-04-21,,Oil,2011,74,Kwale,admin,,4,319,1.6,1.2,298.8,18.8,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,1999,120,Mombasa,admin,1200000,12,317.4,2.2,1.4,295.4,21.7,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,1999,120,Mombasa,admin,1200000,12,317.4,2.2,1.4,295.4,21.7,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,1999,120,Kwale,admin,,12,317.4,2.2,1.4,295.4,21.7,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,1999,120,Kwale,admin,,12,317.4,2.2,1.4,295.4,21.7,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,2001,74.5,Mombasa,admin,1200000,12,317.4,2.2,1.4,295.4,21.7,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,2001,74.5,Mombasa,admin,1200000,12,317.4,2.2,1.4,295.4,21.7,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,2001,74.5,Kwale,admin,,12,317.4,2.2,1.4,295.4,21.7,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,2001,74.5,Kwale,admin,,12,317.4,2.2,1.4,295.4,21.7,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,2011,74,Mombasa,admin,1200000,12,317.4,2.2,1.4,295.4,21.7,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,2011,74,Mombasa,admin,1200000,12,317.4,2.2,1.4,295.4,21.7,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,2011,74,Kwale,admin,,12,317.4,2.2,1.4,295.4,21.7,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.000415308,3.47E-08,12,2021,01-12-21,,Oil,2011,74,Kwale,admin,,12,317.4,2.2,1.4,295.4,21.7,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,1999,120,Mombasa,admin,1200000,3,327.29,1.35,1.13,301.88,20.07,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,1999,120,Mombasa,admin,1200000,3,327.29,1.35,1.13,301.88,20.07,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,1999,120,Kwale,admin,,3,327.29,1.35,1.13,301.88,20.07,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,1999,120,Kwale,admin,,3,327.29,1.35,1.13,301.88,20.07,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,2001,74.5,Mombasa,admin,1200000,3,327.29,1.35,1.13,301.88,20.07,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,2001,74.5,Mombasa,admin,1200000,3,327.29,1.35,1.13,301.88,20.07,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,2001,74.5,Kwale,admin,,3,327.29,1.35,1.13,301.88,20.07,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,2001,74.5,Kwale,admin,,3,327.29,1.35,1.13,301.88,20.07,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,2011,74,Mombasa,admin,1200000,3,327.29,1.35,1.13,301.88,20.07,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,2011,74,Mombasa,admin,1200000,3,327.29,1.35,1.13,301.88,20.07,,,Oil refineries,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,2011,74,Kwale,admin,,3,327.29,1.35,1.13,301.88,20.07,Mombasa,Mombasa County,Cement ,39.375,-4.5
-4.5,39.375,0.00041404,3.23E-08,3,2021,01-03-21,,Oil,2011,74,Kwale,admin,,3,327.29,1.35,1.13,301.88,20.07,,,Oil refineries,39.375,-4.5
